Abbie,  Abe,  Abie	(North America) a Jewish male. From the proper name Abraham. Originated before the 1950s.[1]
Shkutzim 	non-Jewish men, especially those perceived to be anti-Semitic. The singular is sheigetz.[279]
	
Shylock	A Jew, or more specifically, a greedy or usurious Jewish person. From the antagonistic character of Shylock, a Jewish money-lender, in William Shakespeare's play The Merchant of Venice.[280]
	
Sideways vagina, pussy, cooter	Asian women, particularly Chinese women.[281]
	
Skinny	(US) A term for Somali militia fighters[282]
	
Skip, Skippy	(Aus) An Australian, especially one of British descent, from the children's television series Skippy the Bush Kangaroo[283]
	
Slope, slopehead, slopy, slopey, sloper	(Aus, UK, and US) a person of Asian (in Australia, especially Vietnamese; in America, especially Chinese) descent.[284][285] Also slant, slant eye.[286][287]
	
Slopi, slopy, sloppy	Derogatory term used towards Spanish nationals in Gibraltar.[citation needed]
	
Smoked Irish, smoked Irishman	(US) a 19th-century term for blacks (intended to insult both blacks and Irish).[43]
	
Soosmar-khor	"(سوسمار خور) ""lizard eater"" a Persian slur against Arabs, referring to the eating of lizards in Arab cuisine.[288][289][290]"
	
Sooty	a black person [originated in the US in the 1950s][291]
	
Southern Faerie, Southern Fairy	(UK), a pejorative term used in the North of England to describe someone from the South, alluding to their supposed mollycoddled ways. (see also Northern Monkey)[292]
	
Soutpiel	"(South Africa) an Afrikaans term abbreviated as ""Soutie"" and translates as ""Salt-penis"", and used as a derogatory term for White English speaking people. It derives from the Boer Wars where it was said that British soldiers had one foot in Britain, one foot in South Africa and their penis dangled in the Atlantic ocean.[293]"
	
Spade	a black person, recorded since 1928 (OED), from the playing cards suit.[294]
	
Spearchucker	"A term used for an African American, or other person of African descent.[295] In the film MASH, Fred Williamson's character of ""Spear-Chucker"" Jones, however, had actually earned this nickname through his expertise in the track and field event of javelin throwing, though his real athletic specialty was American-rules gridiron football."
	
Spic, spick, spik, spig,  spigotty	"a. (US) a person of Hispanic descent. First recorded use in 1915. Theories include from ""no spik English"" (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of ""Hispanic"". b. the Spanish language.[296]"
	
	
Spook	a black person,[297] attested from the 1940s.[298]
	
Squarehead	a Nordic person, such as a Scandinavian or a German. Refers to either the stereotyped shape of their heads, or to the shape of the Stahlhelm M1916 steel helmet,[299] or to its owner's stubbornness (like a block of wood).
	
Squaw	"(US and CAN) a female Native American.[300] Derived from lower East Coast Algonquian (Massachuset: ussqua),[301] which originally meant ""young woman"", but which took on strong negative connotations in the late 20th century. (The equivalent derisive for a male is ""buck"", and for a child, ""papoose"".)"
	
Squinty	"a person of East Asian descent in reference to the appearance of the eyes, similar to ""slant"".[302]"
	
Swamp Guinea	a person of Italian descent.[303]
	
Tacohead	a Mexican person. This phrase is uttered by Willem Dafoe's character (Charlie) in the film Born on the Fourth of July.[304]
	
Taffy, Taff	(UK) a Welsh person. First used ca. 17th century. From the River Taff or the Welsh pronunciation of the name David (in Welsh, Dafydd).[305]
	
Taig, Teague, Teg,  Teig	used by loyalists in Northern Ireland for members of the nationalist/Catholic/Gaelic community. Derived the Irish name Tadhg, often mistransliterated as Timothy.[306][307]
	
Tar-Baby 	a black child.[308] Also used to refer without regard to race to a situation from which it is difficult to extricate oneself. See tar baby.
	
Teapot	(British) A black person. [19th century][309]
	
Teuchter	(Southern Scotland) somebody from the north of Scotland or rural Scottish areas.[310]
	
Terrorist	(English-speaking world) An Arab or Middle Easterner.[311][312][313][314]
	
Thicklips	(UK) a black person.[43]
	
Timber nigger	Native Americans.[315]
	
Tinker,  tynekere, tinkere, tynkere, tynkare, tynker,  tenker, tinkar, tyncar, tinkard,  tynkard, tincker	"a. (Britain and Ireland) an inconsequential person (typically lower-class); (note that in Britain, the term ""Irish Tinker"" may be used, giving it the same meaning as example b.) b. (Scotland and Ireland) a Gypsy [origin unknown – possibly relating to one of the 'traditional' occupations of Gypsies as travelling 'tinkerers' or repairers of common household objects][316] c. (Scotland) a member of the native community; previously itinerant (but mainly now settled); who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as ""travelling tinsmiths"", possibly derived from a reputation for rowdy and alcoholic recreation. Often confused with Gypsy/Romani people."
	
	
	
Towel head	a person who wears a turban. Often refers specifically to Sikhs,[317] or Arabs and Muslims—based on the traditional keffiyeh headdress.[318]
	
Touch of the tar brush	(British) derogatory descriptive phrase for a person of predominantly Caucasian[when defined as?] ancestry with real or suspected African or Asian distant ancestry.[319]
	
Tork-e khar 	A derogatory insult usually directed against Azeri Turks and Turkish people.[320][321] It usually means a stubborn person who does not accept any reasons and wants to achieve everything with force.
	
Turco-Albanian	A pejorative term historically used in Western Europe and still in use within the Balkans to label and or describe a Muslim Albanian. In the Greek language, the expression is rendered as Turkalvanoi.[322]
	
Turk	(South Wales) Often used to describe a person from Llanelli. The origin of this is uncertain; some theories suggest it due to Llanelli's popularity with Turkish sailors in the late 19th to early 20th century or possibly when Turkish migrants heading for the US stopped in Llanelli and decided to settle due to there being jobs available. However, most likely it's due to the fact that during World War One there was a trade embargo in place during Gallipoli, but Llanelli continued to trade tin with the Turkish; this led to people from neighbouring Swansea and other surrounding areas referring to them as Turks.[323]
	
Twinkie	(American Indian) a European American, with little or no social or blood links to any tribe, who claims to be an American Indian (Native American);[324] or an Asian American who has become completely integrated into White American, or mainstream American culture.[325]
	
Ukrop	"(literally ""dill"" in fact a pun: ukrainian<->ukrop) a disparaging term used by Russians to refer to Ukrainians.[326]"
	
Uncle Tom	a black person perceived as behaving in a subservient manner to white authority figures.[327]
	
Vatnik, Vatnyk, Vata	Russians with pro-Russian jingoist and chauvinist views. A vatnik is a cheap cotton-padded jacket.
	
WASP	White Anglo-Saxon Protestant
	
West Islander	(New Zealand) an Australian - by extension from New Zealand's North Islanders and South Islanders. Usually jokey rather than derogatory.[328]
	
Wetback	(US) an illegal immigrant residing in the United States. Originally applied specifically to Mexican migrant workers who had illegally crossed the US border via the Rio Grande river to find work in the United States, its meaning has since broadened to anyone who illegally enters the United States through its southern border.[329]
	
Wigger,  Whigger, Wigga	(US) used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech.[330] Also used by radical Québécois in self-reference, as in the seminal 1968 book White Niggers of America.
	
White trash	(US) poor white people. Common usage from the 1830s as a pejorative used by black house slaves against white servants.[331]
	
Whitey	a term for a Caucasian.[when defined as?][332]
	
Wog	"(UK and Commonwealth) any swarthy or dark-skinned foreigner. Possibly derived from ""golliwogg""[333] or also, possibly, a now-obsolete acronym for ""Worthy Oriental Gentleman,"" an ironic reference of this type. In Britain, it usually refers to dark-skinned people from Asia or Africa, though some use the term to refer to anyone outside the borders of their own country. In Australia, the term ""wog"" is usually used to refer to Southern Europeans and Mediterraneans (Italians, Croatians, Greeks, Albanians, Spaniards, Lebanese, and others)."
	
Wop	"(North America and UK) anyone of Italian descent, derived from the Italian dialectism, ""guappo,"" close to ""dude, swaggerer"" and other informal appellations, a greeting among male Neapolitans.[334]"
	
Yank	"a contraction of ""Yankee"" below, first recorded in 1778 and employed internationally by speakers of British English in informal reference to all Americans generally.[335]"
	
Yankee	"from Dutch, possibly from Janke (""Johnny"") or a dialectical variant of Jan Kaas (""John Cheese"").[335] First applied by the Dutch colonists of New Amsterdam to Connecticuters and then to other residents of New England, ""Yankee"" remains in use in the American South in reference to Northerners, often in a mildly pejorative sense."
	
Yellow	designating or pertaining to an East or southeast Asian person, in reference to those who have a yellowish skin color.[336]
	
Yid	a Jew, from its use as an endonym among Yiddish-speaking Jews.[337]
	
Yuon	"The Cambodian word ""Yuon"" (yuôn) យួន /yuən/ is an ethnic slur for Vietnamese, derived from the Indian word for Greek, ""Yavana"".[338] It can also be spelled as ""Youn"".[339]"
	
Zip, Zipperhead	"an Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket, Premium Rush and Gran Torino.[340][341][342] The phrase ""zips in the wire"" from Platoon has also been used outside of this context. See also ""Zip"" in List of disability-related terms with negative connotations."
